,TransactionCount,Recency,AverageAmount,Age,TotalAmount,Cluster
33382,1,358,77.0,28,77.0,2
33383,1,298,180.0,27,180.0,2
33384,1,105,358.0,41,358.0,0
33385,1,123,800.0,26,800.0,1
33386,1,53,150.0,28,150.0,2
33387,1,131,1000.0,27,1000.0,1
33388,1,124,1000.0,33,1000.0,1
33389,1,126,597.0,33,597.0,1
33390,1,23,146.0,26,146.0,2
33391,2,97,750.0,26,1500.0,1
33392,1,127,370.0,23,370.0,2
33393,1,146,175.0,29,175.0,2
33394,1,206,1.0,40,1.0,0
33395,1,124,255.0,27,255.0,2
33396,1,115,1000.0,28,1000.0,1
33397,1,136,203.0,27,203.0,2
33398,1,123,246.0,23,246.0,2
33399,1,123,944.0,35,944.0,1
33400,1,108,16.72,27,16.72,2
33401,1,267,175.0,27,175.0,2
33402,1,129,500.0,29,500.0,1
33403,1,129,840.99,28,840.99,1
33404,1,125,350.0,20,350.0,2
33405,1,53,27.0,28,27.0,2
33406,1,96,165.0,33,165.0,0
33407,1,145,40.0,27,40.0,2
33408,1,206,825.0,24,825.0,1
33409,1,299,420.0,39,420.0,0
33410,1,359,600.0,27,600.0,1
33411,1,53,867.0,25,867.0,1
33412,1,54,460.0,33,460.0,0
33413,1,299,240.0,23,240.0,2
33414,1,130,150.0,30,150.0,2
33415,1,299,490.0,37,490.0,0
33416,1,268,60.0,23,60.0,2
33417,1,72,676.0,37,676.0,1
33418,1,328,74.0,22,74.0,2
33419,1,72,75.0,28,75.0,2
33420,1,109,17.0,31,17.0,2
33421,1,238,1000.0,23,1000.0,1
33422,1,298,200.0,34,200.0,0
33423,1,105,62.0,33,62.0,0
33424,1,85,93.0,25,93.0,2
33425,1,125,419.0,36,419.0,0
33426,1,109,350.0,34,350.0,0
33427,1,206,50.0,26,50.0,2
33428,1,24,10.0,24,10.0,2
33429,1,23,110.0,28,110.0,2
33430,1,328,400.0,25,400.0,2
33431,1,299,250.0,24,250.0,2
33432,1,123,28.0,22,28.0,2
33433,1,125,100.0,25,100.0,2
33434,1,176,100.0,28,100.0,2
33435,1,177,100.0,29,100.0,2
33436,1,358,50.0,28,50.0,2
33437,1,127,525.0,31,525.0,1
33438,1,138,26.0,21,26.0,2
33439,1,110,498.0,29,498.0,1
33440,1,299,550.0,27,550.0,1
33441,1,131,420.0,28,420.0,1
33442,1,207,504.0,25,504.0,1
33443,1,141,500.0,32,500.0,1
33444,1,298,35.76,25,35.76,2
33445,1,115,104.0,27,104.0,2
33446,1,138,20.0,23,20.0,2
33447,1,128,321.0,24,321.0,2
33448,1,359,1000.0,27,1000.0,1
33449,2,54,261.0,33,522.0,1
33450,1,207,662.0,29,662.0,1
33451,1,176,345.63,42,345.63,0
33452,1,268,110.0,29,110.0,2
33453,1,128,605.5,31,605.5,1
33454,1,101,200.0,27,200.0,2
33455,1,98,986.0,23,986.0,1
33456,1,268,50.0,27,50.0,2
33457,1,238,942.5,31,942.5,1
33458,1,124,240.0,33,240.0,0
33459,1,298,91.0,20,91.0,2
33460,1,176,100.0,25,100.0,2
33461,1,115,110.0,23,110.0,2
33462,1,146,60.0,30,60.0,2
33463,1,125,800.0,36,800.0,1
33464,1,176,50.0,26,50.0,2
33465,1,96,127.0,28,127.0,2
33466,1,85,310.0,24,310.0,2
33467,1,127,203.65,31,203.65,0
33468,1,53,950.0,34,950.0,1
33469,1,136,28.0,21,28.0,2
33470,1,145,269.5,39,269.5,0
33471,1,128,90.0,40,90.0,0
33472,1,130,100.0,24,100.0,2
33473,1,298,31.0,33,31.0,0
33474,1,84,35.0,26,35.0,2
33475,1,133,245.0,28,245.0,2
33476,1,85,27.0,26,27.0,2
33477,1,85,876.0,23,876.0,1
33478,1,135,235.0,26,235.0,2
33479,1,124,35.0,27,35.0,2
33480,1,327,200.0,30,200.0,0
33481,1,137,100.0,30,100.0,2
33482,1,124,125.0,26,125.0,2
33483,1,134,19.0,26,19.0,2
33484,1,177,258.0,28,258.0,2
33485,1,328,78.0,26,78.0,2
33486,1,328,555.0,40,555.0,0
33487,1,114,100.0,33,100.0,0
33488,1,126,314.0,25,314.0,2
33489,1,105,30.0,24,30.0,2
33490,1,298,300.0,24,300.0,2
33491,1,114,210.0,34,210.0,0
33492,1,298,307.0,25,307.0,2
33493,1,358,63.0,24,63.0,2
33494,1,207,147.0,26,147.0,2
33495,1,145,500.0,27,500.0,1
33496,1,358,550.0,42,550.0,0
33497,1,298,310.0,29,310.0,2
33498,1,96,900.0,30,900.0,1
33499,1,177,200.0,33,200.0,0
33500,1,109,200.0,32,200.0,0
33501,1,108,730.0,29,730.0,1
33502,1,24,37.0,27,37.0,2
33503,1,298,295.0,33,295.0,0
33504,1,177,220.0,29,220.0,2
33505,1,139,50.0,20,50.0,2
33506,1,268,276.0,23,276.0,2
33507,1,123,38.0,29,38.0,2
33508,1,237,40.0,26,40.0,2
33509,1,84,29.0,29,29.0,2
33510,1,96,500.0,29,500.0,1
33511,1,140,30.0,26,30.0,2
33512,1,123,50.0,23,50.0,2
33513,1,134,470.0,35,470.0,0
33514,1,135,441.0,38,441.0,0
33515,1,97,90.0,21,90.0,2
33516,1,177,10.0,25,10.0,2
33517,1,124,190.0,36,190.0,0
33518,1,139,273.0,34,273.0,0
33519,1,54,225.0,30,225.0,2
33520,1,237,150.0,30,150.0,2
33521,1,132,149.0,23,149.0,2
33522,1,108,680.0,26,680.0,1
33523,1,84,1000.0,27,1000.0,1
33524,1,141,590.0,27,590.0,1
33525,1,206,200.0,38,200.0,0
33526,1,146,200.0,38,200.0,0
33527,1,238,265.0,29,265.0,2
33528,1,267,860.0,34,860.0,1
33529,1,237,197.0,30,197.0,0
33530,1,133,80.0,28,80.0,2
33531,1,137,774.0,35,774.0,1
33532,1,207,148.0,40,148.0,0
33533,1,97,100.0,21,100.0,2
33534,1,96,100.0,27,100.0,2
33535,1,125,40.0,28,40.0,2
33536,1,131,681.0,28,681.0,1
33537,1,176,565.0,41,565.0,0
33538,1,358,150.0,27,150.0,2
33539,1,114,402.0,30,402.0,0
33540,1,298,50.0,19,50.0,2
33541,1,129,153.0,25,153.0,2
33542,1,146,50.0,27,50.0,2
33543,1,84,95.0,20,95.0,2
33544,1,207,445.0,42,445.0,0
33545,1,96,286.0,36,286.0,0
33546,1,137,979.0,27,979.0,1
33547,1,145,644.37,41,644.37,1
33548,1,125,200.0,24,200.0,2
33549,1,127,252.0,32,252.0,0
33550,1,135,200.0,23,200.0,2
33551,1,123,169.0,21,169.0,2
33552,1,109,500.0,27,500.0,1
33553,1,146,400.0,24,400.0,2
33554,1,114,340.0,27,340.0,2
33555,2,137,139.0,26,278.0,2
33556,1,139,736.0,40,736.0,1
33557,1,24,98.0,22,98.0,2
33558,1,135,260.0,22,260.0,2
33559,1,176,563.0,24,563.0,1
33560,1,358,100.0,25,100.0,2
33561,1,133,58.0,26,58.0,2
33562,1,176,120.0,28,120.0,2
33563,1,54,499.0,28,499.0,1
33564,1,176,289.0,27,289.0,2
33565,1,140,425.0,27,425.0,1
33566,1,146,175.0,24,175.0,2
33567,1,85,684.0,25,684.0,1
33568,1,267,160.0,28,160.0,2
33569,1,130,145.75,26,145.75,2
33570,1,237,199.0,28,199.0,2
33571,1,358,150.0,41,150.0,0
33572,1,145,280.0,30,280.0,0
33573,1,206,645.0,33,645.0,1
33574,1,126,35.0,24,35.0,2
33575,1,298,0.95,35,0.95,0
33576,1,136,686.4,27,686.4,1
33577,1,125,55.0,26,55.0,2
33578,1,134,10.0,26,10.0,2
